10-05-2023 13:51:38.102 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 18722 (/home/raju/Works/ImplementationProject/ELK Stack for Logging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELK Stack for Logging/ELK-Stack-for-Logging)
10-05-2023 13:51:38.104 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 13:51:38.978 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 1.18 seconds (JVM running for 1.596)
10-05-2023 15:19:43.721 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 51002 (/home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
10-05-2023 15:19:43.723 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 15:19:44.601 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 1.195 seconds (JVM running for 1.612)
10-05-2023 15:29:12.142 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 53477 (/home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
10-05-2023 15:29:12.144 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 15:29:12.996 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 1.148 seconds (JVM running for 1.484)
10-05-2023 15:29:47.451 [http-nio-8080-exec-1] INFO  com.example.demo.controler.ElkController.helloWorld - Inside Hello World Function
10-05-2023 15:29:47.451 [http-nio-8080-exec-1] INFO  com.example.demo.controler.ElkController.helloWorld - Response => Hello World! Wed May 10 15:29:47 NPT 2023
10-05-2023 15:29:59.728 [http-nio-8080-exec-3] INFO  com.example.demo.controler.ElkController.foodDetails - Inside Food Detail Function
10-05-2023 15:29:59.729 [http-nio-8080-exec-3] INFO  com.example.demo.services.ElkService.getAllFoodDetails - Fetching ALL food details...
10-05-2023 15:31:26.621 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 54009 (/home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
10-05-2023 15:31:26.624 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 15:31:27.465 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 1.203 seconds (JVM running for 1.651)
10-05-2023 15:32:00.025 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 54121 (/home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
10-05-2023 15:32:00.027 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 15:32:00.855 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 1.111 seconds (JVM running for 1.512)
10-05-2023 15:34:22.337 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarting - Starting ElkStackForLoggingApplication using Java 17.0.6 on raju-Inspiron-3590 with PID 54440 (/home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging/target/classes started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
10-05-2023 15:34:22.344 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-05-2023 15:34:23.913 [main] INFO  com.example.demo.ElkStackForLoggingApplication.logStarted - Started ElkStackForLoggingApplication in 2.48 seconds (JVM running for 3.65)
17-05-2023 20:50:35.919 [main] INFO  com.example.demo.ElkStackForLoggingApplicationTests.logStarting - Starting ElkStackForLoggingApplicationTests using Java 17 on raju-Inspiron-3590 with PID 83773 (started by raju in /home/raju/Works/ImplementationProject/ELKStackforLogging/ELK-Stack-for-Logging)
17-05-2023 20:50:35.921 [main] INFO  com.example.demo.ElkStackForLoggingApplicationTests.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
17-05-2023 20:50:36.951 [main] INFO  com.example.demo.ElkStackForLoggingApplicationTests.logStarted - Started ElkStackForLoggingApplicationTests in 1.295 seconds (JVM running for 1.952)
